MT,Severe Storm(s),3
AL,Severe Storm(s),3
TX,Hurricane,46
ID,Severe Storm(s),7
ID,Fire,1
NH,Severe Storm(s),8
AR,Severe Storm(s),25
CT,Severe Storm(s),5
SD,Severe Storm(s),71
SD,Flood,37
VT,Severe Storm(s),3
MA,Other,4
MA,Severe Storm(s),7
MA,Hurricane,10
CA,Earthquake,1
CA,Severe Storm(s),6
CA,Fire,6
HI,Fire,1
WY,Flood,3
MN,Tornado,13
MN,Severe Storm(s),29
MN,Flood,57
UT,Fire,1
WA,Fire,2
DC,Severe Storm(s),1
DC,Snow,1
NE,Severe Storm(s),126
NE,Flood,37
WI,Severe Storm(s),12
KY,Severe Storm(s),91
OK,Severe Storm(s),154
OK,Severe Ice Storm,50
CO,Fire,2
AZ,Severe Storm(s),22
AZ,Fire,2
PR,Severe Storm(s),31
RI,Severe Storm(s),10
NY,Tornado,3
NY,Severe Storm(s),9
MD,Snow,34
DE,Snow,3
WV,Severe Storm(s),6
WV,Flood,5
WV,Snow,38
MS,Severe Storm(s),18
TN,Severe Storm(s),59
NM,Fire,2
NM,Flood,7
NC,Severe Storm(s),28
NC,Hurricane,30
ME,Severe Storm(s),7
NJ,Severe Storm(s),16
NJ,Snow,14
NV,Fire,1
IA,Severe Storm(s),117
PA,Snow,27
VI,Severe Storm(s),4
VI,Hurricane,3
VA,Snow,88
MO,Severe Storm(s),37
IL,Severe Storm(s),11
KS,Severe Storm(s),92
ND,Severe Storm(s),39
ND,Flood,49
