OH,Flood,22
MT,Flood,6
AL,Severe Storm(s),4
MD,Severe Storm(s),2
MD,Flood,2
TX,Flood,3
TX,Fire,6
ID,Fire,1
NH,Severe Storm(s),6
NH,Coastal Storm,1
NH,Snow,3
WV,Severe Storm(s),7
WV,Mud/Landslide,21
MA,Coastal Storm,6
MA,Snow,5
AS,Hurricane,10
NM,Fire,2
SD,Fire,1
NC,Severe Storm(s),3
NC,Hurricane,109
VT,Severe Storm(s),15
IN,Flood,31
AZ,Flood,1
AZ,Fire,2
HI,Volcano,1
HI,Flood,3
HI,Hurricane,8
WY,Fire,1
MN,Flood,30
ME,Severe Storm(s),13
ME,Coastal Storm,1
OR,Fire,8
NJ,Severe Storm(s),6
UT,Fire,3
NV,Fire,1
WA,Flood,1
WA,Fire,11
AK,Flood,1
AK,Coastal Storm,1
NE,Severe Storm(s),10
NE,Snow,31
WI,Flood,7
KY,Flood,58
OK,Fire,8
VA,Hurricane,134
CO,Fire,4
CT,Tornado,2
CA,Fire,19
MI,Flood,3
IA,Severe Storm(s),34
MP,Severe Storm(s),3
SC,Hurricane,47
